generated_id,seed_no,variant_index,reference,original_expression,generated_expression,generation_type,distinct_operands_renamed
100,5,6,,(C*F*)*|(F*C*)*,(X005V06O01*X005V06O02*)*|(X005V06O02*X005V06O01*)*,operand-renamed_same-structure,2
101,5,7,,(C*F*)*|(F*C*)*,(X005V07O01*X005V07O02*)*|(X005V07O02*X005V07O01*)*,operand-renamed_same-structure,2
102,5,8,,(C*F*)*|(F*C*)*,(X005V08O01*X005V08O02*)*|(X005V08O02*X005V08O01*)*,operand-renamed_same-structure,2
103,5,9,,(C*F*)*|(F*C*)*,(X005V09O01*X005V09O02*)*|(X005V09O02*X005V09O01*)*,operand-renamed_same-structure,2
104,5,10,,(C*F*)*|(F*C*)*,(X005V10O01*X005V10O02*)*|(X005V10O02*X005V10O01*)*,operand-renamed_same-structure,2
105,5,11,,(C*F*)*|(F*C*)*,(X005V11O01*X005V11O02*)*|(X005V11O02*X005V11O01*)*,operand-renamed_same-structure,2
106,5,12,,(C*F*)*|(F*C*)*,(X005V12O01*X005V12O02*)*|(X005V12O02*X005V12O01*)*,operand-renamed_same-structure,2
107,5,13,,(C*F*)*|(F*C*)*,(X005V13O01*X005V13O02*)*|(X005V13O02*X005V13O01*)*,operand-renamed_same-structure,2
108,5,14,,(C*F*)*|(F*C*)*,(X005V14O01*X005V14O02*)*|(X005V14O02*X005V14O01*)*,operand-renamed_same-structure,2
109,5,15,,(C*F*)*|(F*C*)*,(X005V15O01*X005V15O02*)*|(X005V15O02*X005V15O01*)*,operand-renamed_same-structure,2
110,5,16,,(C*F*)*|(F*C*)*,(X005V16O01*X005V16O02*)*|(X005V16O02*X005V16O01*)*,operand-renamed_same-structure,2
111,5,17,,(C*F*)*|(F*C*)*,(X005V17O01*X005V17O02*)*|(X005V17O02*X005V17O01*)*,operand-renamed_same-structure,2
112,5,18,,(C*F*)*|(F*C*)*,(X005V18O01*X005V18O02*)*|(X005V18O02*X005V18O01*)*,operand-renamed_same-structure,2
113,5,19,,(C*F*)*|(F*C*)*,(X005V19O01*X005V19O02*)*|(X005V19O02*X005V19O01*)*,operand-renamed_same-structure,2
114,5,20,,(C*F*)*|(F*C*)*,(X005V20O01*X005V20O02*)*|(X005V20O02*X005V20O01*)*,operand-renamed_same-structure,2
115,5,21,,(C*F*)*|(F*C*)*,(X005V21O01*X005V21O02*)*|(X005V21O02*X005V21O01*)*,operand-renamed_same-structure,2
116,5,22,,(C*F*)*|(F*C*)*,(X005V22O01*X005V22O02*)*|(X005V22O02*X005V22O01*)*,operand-renamed_same-structure,2
117,5,23,,(C*F*)*|(F*C*)*,(X005V23O01*X005V23O02*)*|(X005V23O02*X005V23O01*)*,operand-renamed_same-structure,2
118,5,24,,(C*F*)*|(F*C*)*,(X005V24O01*X005V24O02*)*|(X005V24O02*X005V24O01*)*,operand-renamed_same-structure,2
119,6,1,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V01O01.(X006V01O02.X006V01O03.(X006V01O04.X006V01O05){1~n-1}.X006V01O06.X006V01O07 | X006V01O08)){0~n-1}.X006V01O09,operand-renamed_same-structure,9
120,6,2,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V02O01.(X006V02O02.X006V02O03.(X006V02O04.X006V02O05){1~n-1}.X006V02O06.X006V02O07 | X006V02O08)){0~n-1}.X006V02O09,operand-renamed_same-structure,9
121,6,3,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V03O01.(X006V03O02.X006V03O03.(X006V03O04.X006V03O05){1~n-1}.X006V03O06.X006V03O07 | X006V03O08)){0~n-1}.X006V03O09,operand-renamed_same-structure,9
122,6,4,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V04O01.(X006V04O02.X006V04O03.(X006V04O04.X006V04O05){1~n-1}.X006V04O06.X006V04O07 | X006V04O08)){0~n-1}.X006V04O09,operand-renamed_same-structure,9
123,6,5,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V05O01.(X006V05O02.X006V05O03.(X006V05O04.X006V05O05){1~n-1}.X006V05O06.X006V05O07 | X006V05O08)){0~n-1}.X006V05O09,operand-renamed_same-structure,9
124,6,6,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V06O01.(X006V06O02.X006V06O03.(X006V06O04.X006V06O05){1~n-1}.X006V06O06.X006V06O07 | X006V06O08)){0~n-1}.X006V06O09,operand-renamed_same-structure,9
125,6,7,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V07O01.(X006V07O02.X006V07O03.(X006V07O04.X006V07O05){1~n-1}.X006V07O06.X006V07O07 | X006V07O08)){0~n-1}.X006V07O09,operand-renamed_same-structure,9
126,6,8,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V08O01.(X006V08O02.X006V08O03.(X006V08O04.X006V08O05){1~n-1}.X006V08O06.X006V08O07 | X006V08O08)){0~n-1}.X006V08O09,operand-renamed_same-structure,9
127,6,9,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V09O01.(X006V09O02.X006V09O03.(X006V09O04.X006V09O05){1~n-1}.X006V09O06.X006V09O07 | X006V09O08)){0~n-1}.X006V09O09,operand-renamed_same-structure,9
128,6,10,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V10O01.(X006V10O02.X006V10O03.(X006V10O04.X006V10O05){1~n-1}.X006V10O06.X006V10O07 | X006V10O08)){0~n-1}.X006V10O09,operand-renamed_same-structure,9
129,6,11,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V11O01.(X006V11O02.X006V11O03.(X006V11O04.X006V11O05){1~n-1}.X006V11O06.X006V11O07 | X006V11O08)){0~n-1}.X006V11O09,operand-renamed_same-structure,9
130,6,12,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V12O01.(X006V12O02.X006V12O03.(X006V12O04.X006V12O05){1~n-1}.X006V12O06.X006V12O07 | X006V12O08)){0~n-1}.X006V12O09,operand-renamed_same-structure,9
131,6,13,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V13O01.(X006V13O02.X006V13O03.(X006V13O04.X006V13O05){1~n-1}.X006V13O06.X006V13O07 | X006V13O08)){0~n-1}.X006V13O09,operand-renamed_same-structure,9
132,6,14,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V14O01.(X006V14O02.X006V14O03.(X006V14O04.X006V14O05){1~n-1}.X006V14O06.X006V14O07 | X006V14O08)){0~n-1}.X006V14O09,operand-renamed_same-structure,9
133,6,15,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V15O01.(X006V15O02.X006V15O03.(X006V15O04.X006V15O05){1~n-1}.X006V15O06.X006V15O07 | X006V15O08)){0~n-1}.X006V15O09,operand-renamed_same-structure,9
134,6,16,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V16O01.(X006V16O02.X006V16O03.(X006V16O04.X006V16O05){1~n-1}.X006V16O06.X006V16O07 | X006V16O08)){0~n-1}.X006V16O09,operand-renamed_same-structure,9
135,6,17,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V17O01.(X006V17O02.X006V17O03.(X006V17O04.X006V17O05){1~n-1}.X006V17O06.X006V17O07 | X006V17O08)){0~n-1}.X006V17O09,operand-renamed_same-structure,9
136,6,18,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V18O01.(X006V18O02.X006V18O03.(X006V18O04.X006V18O05){1~n-1}.X006V18O06.X006V18O07 | X006V18O08)){0~n-1}.X006V18O09,operand-renamed_same-structure,9
137,6,19,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V19O01.(X006V19O02.X006V19O03.(X006V19O04.X006V19O05){1~n-1}.X006V19O06.X006V19O07 | X006V19O08)){0~n-1}.X006V19O09,operand-renamed_same-structure,9
138,6,20,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V20O01.(X006V20O02.X006V20O03.(X006V20O04.X006V20O05){1~n-1}.X006V20O06.X006V20O07 | X006V20O08)){0~n-1}.X006V20O09,operand-renamed_same-structure,9
139,6,21,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V21O01.(X006V21O02.X006V21O03.(X006V21O04.X006V21O05){1~n-1}.X006V21O06.X006V21O07 | X006V21O08)){0~n-1}.X006V21O09,operand-renamed_same-structure,9
140,6,22,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V22O01.(X006V22O02.X006V22O03.(X006V22O04.X006V22O05){1~n-1}.X006V22O06.X006V22O07 | X006V22O08)){0~n-1}.X006V22O09,operand-renamed_same-structure,9
141,6,23,2017-A study for extended regular expression-based testing,(a.(b.c.(d.e){1~n-1}.f.h | g)){0~n-1}.i,(X006V23O01.(X006V23O02.X006V23O03.(X006V23O04.X006V23O05){1~n-1}.X006V23O06.X006V23O07 | X006V23O08)){0~n-1}.X006V23O09,operand-renamed_same-structure,9
142,7,1,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V01O01(X007V01O02+X007V01O03)*),operand-renamed_same-structure,3
143,7,2,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V02O01(X007V02O02+X007V02O03)*),operand-renamed_same-structure,3
144,7,3,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V03O01(X007V03O02+X007V03O03)*),operand-renamed_same-structure,3
145,7,4,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V04O01(X007V04O02+X007V04O03)*),operand-renamed_same-structure,3
146,7,5,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V05O01(X007V05O02+X007V05O03)*),operand-renamed_same-structure,3
147,7,6,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V06O01(X007V06O02+X007V06O03)*),operand-renamed_same-structure,3
148,7,7,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V07O01(X007V07O02+X007V07O03)*),operand-renamed_same-structure,3
149,7,8,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V08O01(X007V08O02+X007V08O03)*),operand-renamed_same-structure,3
150,7,9,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V09O01(X007V09O02+X007V09O03)*),operand-renamed_same-structure,3
151,7,10,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V10O01(X007V10O02+X007V10O03)*),operand-renamed_same-structure,3
152,7,11,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V11O01(X007V11O02+X007V11O03)*),operand-renamed_same-structure,3
153,7,12,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V12O01(X007V12O02+X007V12O03)*),operand-renamed_same-structure,3
154,7,13,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V13O01(X007V13O02+X007V13O03)*),operand-renamed_same-structure,3
155,7,14,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V14O01(X007V14O02+X007V14O03)*),operand-renamed_same-structure,3
156,7,15,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V15O01(X007V15O02+X007V15O03)*),operand-renamed_same-structure,3
157,7,16,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V16O01(X007V16O02+X007V16O03)*),operand-renamed_same-structure,3
158,7,17,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V17O01(X007V17O02+X007V17O03)*),operand-renamed_same-structure,3
159,7,18,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V18O01(X007V18O02+X007V18O03)*),operand-renamed_same-structure,3
160,7,19,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V19O01(X007V19O02+X007V19O03)*),operand-renamed_same-structure,3
161,7,20,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V20O01(X007V20O02+X007V20O03)*),operand-renamed_same-structure,3
162,7,21,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V21O01(X007V21O02+X007V21O03)*),operand-renamed_same-structure,3
163,7,22,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V22O01(X007V22O02+X007V22O03)*),operand-renamed_same-structure,3
164,7,23,2018-An Approach to Automatic Test Case Generation,(ab(c+d)*),(X007V23O01(X007V23O02+X007V23O03)*),operand-renamed_same-structure,3
165,8,1,,(ab(c+d)1~2),(X008V01O01(X008V01O02+X008V01O03)1~700800104),operand-renamed_same-structure,4
166,8,2,,(ab(c+d)1~2),(X008V02O01(X008V02O02+X008V02O03)1~700800204),operand-renamed_same-structure,4
167,8,3,,(ab(c+d)1~2),(X008V03O01(X008V03O02+X008V03O03)1~700800304),operand-renamed_same-structure,4
168,8,4,,(ab(c+d)1~2),(X008V04O01(X008V04O02+X008V04O03)1~700800404),operand-renamed_same-structure,4
169,8,5,,(ab(c+d)1~2),(X008V05O01(X008V05O02+X008V05O03)1~700800504),operand-renamed_same-structure,4
170,8,6,,(ab(c+d)1~2),(X008V06O01(X008V06O02+X008V06O03)1~700800604),operand-renamed_same-structure,4
